Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,1000,Event -6,0.04406525464284982,-5,175512,1.25e-06
42,1000,Event -7,0.004479942861057441,-6,175512,1.25e-06
42,1000,Event -8,0.17329897823787876,-7,175512,1.25e-06
42,1000,Event -1,-0.20561201778196148,0,111686,1.25e-06
42,1000,Event -2,-0.0019435472431637906,-1,111686,1.25e-06
42,1000,Event -3,-0.03012528717517846,-2,111686,1.25e-06
42,1000,Event -4,0.028674735554626938,-3,111686,1.25e-06
42,1000,Event -5,-0.0014107115921519536,-4,111686,1.25e-06
42,1000,Event -6,-0.044068144190879,-5,111686,1.25e-06
42,1000,Event -7,-0.001929502118201475,-6,111686,1.25e-06
42,1000,Event -8,0.2554885163903235,-7,111686,1.25e-06
42,1000,Event -1,0.004905544221401215,0,171718,1.25e-06
42,1000,Event -2,0.15482890854279197,-1,171718,1.25e-06
42,1000,Event -3,0.029229623576005302,-2,171718,1.25e-06
42,1000,Event -4,0.35603296011686325,-3,171718,1.25e-06
42,1000,Event -1,-0.1899899174769719,0,170060,1.25e-06
42,1000,Event -2,-0.03174698775013288,-1,170060,1.25e-06
42,1000,Event -3,-0.017620611190795943,-2,170060,1.25e-06
42,1000,Event -4,0.006330418835083534,-3,170060,1.25e-06
42,1000,Event -5,0.22509047091007242,-4,170060,1.25e-06
42,1000,Event -1,-0.023653385291497048,0,125235,1.25e-06
42,1000,Event -2,-0.1375906489789485,-1,125235,1.25e-06
42,1000,Event -3,-0.017174531767765733,-2,125235,1.25e-06
42,1000,Event -4,-0.06456353738903993,-3,125235,1.25e-06
42,1000,Event -5,-0.025912613670031226,-4,125235,1.25e-06
42,1000,Event -1,-0.041302868475516695,0,108841,1.25e-06
42,1000,Event -2,0.35563330476482696,-1,108841,1.25e-06
42,1000,Event -3,0.14992563550670948,-2,108841,1.25e-06
42,1000,Event -4,-0.1143676874538262,-3,108841,1.25e-06
42,1000,Event -1,-0.00810697866337638,0,165729,1.25e-06
42,1000,Event -2,-0.005303741423856533,-1,165729,1.25e-06
42,1000,Event -3,0.007060948652880573,-2,165729,1.25e-06
42,1000,Event -4,0.04386670525584903,-3,165729,1.25e-06
42,1000,Event -5,0.015634247731594858,-4,165729,1.25e-06
42,1000,Event -6,0.002251766622066512,-5,165729,1.25e-06
42,1000,Event -7,0.1930291312791049,-6,165729,1.25e-06
42,1000,Event -8,0.01509871135155369,-7,165729,1.25e-06
42,1000,Event -1,0.006163720289866052,0,119621,1.25e-06
42,1000,Event -2,-0.08556483536958684,-1,119621,1.25e-06
42,1000,Event -3,-0.00583858887354536,-2,119621,1.25e-06
42,1000,Event -4,-0.015705884496370948,-3,119621,1.25e-06
42,1000,Event -5,0.3558118904630343,-4,119621,1.25e-06
42,1000,Event -1,0.22280263900756836,0,187906,1.25e-06
42,1000,Event -1,-0.010787762701511383,0,184058,1.25e-06
42,1000,Event -2,-0.019245795905590057,-1,184058,1.25e-06
42,1000,Event -3,0.5043213367462158,-2,184058,1.25e-06
42,1000,Event -1,0.005613893270492554,0,101387,1.25e-06
42,1000,Event -2,0.4345465898513794,-1,101387,1.25e-06
42,1000,Event -1,0.0013605505228042585,0,170498,1.25e-06
42,1000,Event -2,-0.022197805345058438,-1,170498,1.25e-06
42,1000,Event -3,0.02581668645143509,-2,170498,1.25e-06
42,1000,Event -1,0.16384762103358916,0,179285,1.25e-06
42,1000,Event -2,-0.0619042776525021,-1,179285,1.25e-06
42,1000,Event -3,-0.005093627174695349,-2,179285,1.25e-06
42,1000,Event -4,-0.09006420945127812,-3,179285,1.25e-06
42,1000,Event -5,-0.002201779186725642,-4,179285,1.25e-06
42,1000,Event -6,0.3641719110310078,-5,179285,1.25e-06
42,1000,Event -1,0.013095855712890625,0,198476,1.25e-06
42,1000,Event -1,0.2800227999687195,0,177199,1.25e-06
42,1000,Event -1,-0.002624254236145628,0,165517,1.25e-06
42,1000,Event -2,0.11331450798445272,-1,165517,1.25e-06
42,1000,Event -3,-0.06281591578135412,-2,165517,1.25e-06
42,1000,Event -4,-0.014608350455287892,-3,165517,1.25e-06
42,1000,Event -5,-0.01703468148433972,-4,165517,1.25e-06
42,1000,Event -6,-0.0166091370677191,-5,165517,1.25e-06
42,1000,Event -7,-0.009154512685915786,-6,165517,1.25e-06
42,1000,Event -8,0.0025727551726121723,-7,165517,1.25e-06
42,1000,Event -9,0.22206887724617172,-8,165517,1.25e-06
42,1000,Event -1,0.014695137739181519,0,173178,1.25e-06
42,1000,Event -2,0.07018759846687317,-1,173178,1.25e-06
42,1000,Event -1,-0.030416756868362427,0,171645,1.25e-06
42,1000,Event -1,-0.015874070425828293,0,197410,1.25e-06
42,1000,Event -2,-0.05084216346343359,-1,197410,1.25e-06
42,1000,Event -3,0.6924700240294138,-2,197410,1.25e-06
42,1000,Event -1,-0.009674975772698723,0,193559,1.25e-06
42,1000,Event -2,-0.00888861268758773,-1,193559,1.25e-06
42,1000,Event -3,0.022066087524096195,-2,193559,1.25e-06
42,1000,Event -4,-0.09864746381839122,-3,193559,1.25e-06
42,1000,Event -5,0.05794840206702554,-4,193559,1.25e-06
42,1000,Event -6,-0.036746575435002655,-5,193559,1.25e-06
42,1000,Event -1,0.006085892518361408,0,186134,1.25e-06
42,1000,Event -2,0.020376746853192646,-1,186134,1.25e-06
42,1000,Event -3,0.11476818223794302,-2,186134,1.25e-06
42,1000,Event -1,-0.11716830382744485,0,104642,1.25e-06
42,1000,Event -2,-0.07635819464921959,-1,104642,1.25e-06
42,1000,Event -3,-0.009544128676255585,-2,104642,1.25e-06
42,1000,Event -4,-0.00460831572612124,-3,104642,1.25e-06
42,1000,Event -5,0.393793632090092,-4,104642,1.25e-06
42,1000,Event -6,0.0004972611864407228,-5,104642,1.25e-06
42,1000,Event -1,0.0037068575620651245,0,170868,1.25e-06
42,1000,Event -2,-0.07418596744537354,-1,170868,1.25e-06
42,1000,Event -1,-0.01954837143421173,0,115362,1.25e-06
42,1000,Event -2,0.5025791972875595,-1,115362,1.25e-06
42,1000,Event -1,-0.015958170096079506,0,163721,1.25e-06
42,1000,Event -2,-0.008765632907549541,-1,163721,1.25e-06
42,1000,Event -3,0.4398111750682195,-2,163721,1.25e-06
