Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-2,0.05312524735927582,166923
Sum of contribution of events ≤ t,-2,0.42631877958774567,166923
Sum of contribution of events > t,-3,0.06559015810489655,166923
Sum of contribution of events ≤ t,-3,0.41385386884212494,166923
Sum of contribution of events > t,-4,0.4794440269470215,166923
Sum of contribution of events ≤ t,-4,0.0,166923
Sum of contribution of events > t,0,0.0,129945
Sum of contribution of events ≤ t,0,0.12184354662895203,129945
Sum of contribution of events > t,-1,0.12184354662895203,129945
Sum of contribution of events ≤ t,-1,0.0,129945
Sum of contribution of events > t,0,0.0,162773
Sum of contribution of events ≤ t,0,0.4797254502773285,162773
Sum of contribution of events > t,-1,-0.005512788891792297,162773
Sum of contribution of events ≤ t,-1,0.4852382391691208,162773
Sum of contribution of events > t,-2,0.19763202965259552,162773
Sum of contribution of events ≤ t,-2,0.28209342062473297,162773
Sum of contribution of events > t,-3,0.4797254502773285,162773
Sum of contribution of events ≤ t,-3,0.0,162773
Sum of contribution of events > t,0,0.0,157554
Sum of contribution of events ≤ t,0,0.33385011553764343,157554
Sum of contribution of events > t,-1,0.003751426935195923,157554
Sum of contribution of events ≤ t,-1,0.3300986886024475,157554
Sum of contribution of events > t,-2,0.33385011553764343,157554
Sum of contribution of events ≤ t,-2,0.0,157554
Sum of contribution of events > t,0,0.0,120511
Sum of contribution of events ≤ t,0,-0.23431971669197083,120511
Sum of contribution of events > t,-1,-0.0008580908179283142,120511
Sum of contribution of events ≤ t,-1,-0.2334616258740425,120511
Sum of contribution of events > t,-2,-0.05870288610458374,120511
Sum of contribution of events ≤ t,-2,-0.17561683058738708,120511
Sum of contribution of events > t,-3,-0.08887815475463867,120511
Sum of contribution of events ≤ t,-3,-0.14544156193733215,120511
Sum of contribution of events > t,-4,-0.23431971669197083,120511
Sum of contribution of events ≤ t,-4,0.0,120511
Sum of contribution of events > t,0,0.0,130961
Sum of contribution of events ≤ t,0,0.6030099093914032,130961
Sum of contribution of events > t,-1,0.22827176749706268,130961
Sum of contribution of events ≤ t,-1,0.3747381418943405,130961
Sum of contribution of events > t,-2,0.22772322595119476,130961
Sum of contribution of events ≤ t,-2,0.37528668344020844,130961
Sum of contribution of events > t,-3,0.6030099093914032,130961
Sum of contribution of events ≤ t,-3,0.0,130961
Sum of contribution of events > t,0,0.0,113744
Sum of contribution of events ≤ t,0,0.48721379041671753,113744
Sum of contribution of events > t,-1,0.48721379041671753,113744
Sum of contribution of events ≤ t,-1,0.0,113744
Sum of contribution of events > t,0,0.0,154342
Sum of contribution of events ≤ t,0,0.2794729769229889,154342
Sum of contribution of events > t,-1,-0.04311008006334305,154342
Sum of contribution of events ≤ t,-1,0.32258305698633194,154342
Sum of contribution of events > t,-2,0.2794729769229889,154342
Sum of contribution of events ≤ t,-2,0.0,154342
Sum of contribution of events > t,0,0.0,113195
Sum of contribution of events ≤ t,0,0.3274829089641571,113195
Sum of contribution of events > t,-1,0.014561101794242859,113195
Sum of contribution of events ≤ t,-1,0.31292180716991425,113195
Sum of contribution of events > t,-2,0.3274829089641571,113195
Sum of contribution of events ≤ t,-2,0.0,113195
Sum of contribution of events > t,0,0.0,103303
Sum of contribution of events ≤ t,0,0.17685449123382568,103303
Sum of contribution of events > t,-1,0.17685449123382568,103303
Sum of contribution of events ≤ t,-1,0.0,103303
Sum of contribution of events > t,0,0.0,135772
Sum of contribution of events ≤ t,0,0.5640628337860107,135772
Sum of contribution of events > t,-1,0.0806702971458435,135772
Sum of contribution of events ≤ t,-1,0.48339253664016724,135772
Sum of contribution of events > t,-2,0.07198068499565125,135772
Sum of contribution of events ≤ t,-2,0.4920821487903595,135772
Sum of contribution of events > t,-3,0.05639435350894928,135772
Sum of contribution of events ≤ t,-3,0.5076684802770615,135772
Sum of contribution of events > t,-4,0.5640628337860107,135772
Sum of contribution of events ≤ t,-4,0.0,135772
Sum of contribution of events > t,0,0.0,157999
Sum of contribution of events ≤ t,0,-0.14373251795768738,157999
Sum of contribution of events > t,-1,-0.10221629589796066,157999
